ground_truth,predicted,count
sweet_william,carnation,2
alpine_sea_holly,globe_thistle,1
balloon_flower,stemless_gentian,1
californian_poppy,columbine,1
camellia,bishop_of_llandaff,1
camellia,bolero_deep_blue,1
canna_lily,bird_of_paradise,1
english_marigold,gazania,1
gaura,columbine,1
hibiscus,tree_mallow,1
japanese_anemone,mexican_aster,1
lenten_rose,windflower,1
mallow,globe_flower,1
petunia,hibiscus,1
petunia,mexican_petunia,1
ruby_lipped_cattleya,sweet_pea,1
sweet_pea,cyclamen,1
wallflower,primula,1
